PMID,YearPub,Journal,Authors,Title,Abstract,PMCID,DOI,concepts,Pathogen,replacingPMID,include,exclusionReason
24427262,2014,PloS one,"Shin, Hye-Jin;Joo, Jungnam;Yoon, Ji Hyun;Yoo, Chong Woo;Kim, Joo-Young",Physical status of human papillomavirus integration in cervical cancer is associated with treatment outcome of the patients treated with radiotherapy.,"Integration of human papillomavirus (HPV) DNA into the host genome is a critical aetiological event in the progression from normal cervix to intraepithelial neoplasm, and finally to invasive cervical cancer. However, there has been little work on how HPV integration status relates to treatment outcome for cervical carcinomas. In the current study, HPV E2 and E6 gene copy numbers were measured in 111 cervical cancer tissues using real-time QPCR. Integration patterns were divided into four groups: single copy-integrated with episomal components (group 1), single copy-integrated without episomal components (group 2), multicopy tandem repetition-integrated (group 3), and low HPV (group 4) groups. A relapse-predicting model was constructed using multivariable Cox proportional hazards model to classify patients into different risk groups for disease-free survival (DFS). The model was internally validated using bootstrap resampling. Oligonucleotide microarray analysis was performed to evaluate gene expression patterns in relation to the different integration groups. DFS rate was inferior in the order of the patients in group 4, group 2/3, and group 1. Multivariate analysis showed that histologic grade, clinical stage group, and integration pattern were significant prognostic factors for poor DFS. The current prognostic model accurately predicted the risk of relapse, with an area under the receiver operating characteristic curve (AUC) of 0.74 (bootstrap corrected, 0.71). In conclusion, these data suggest that HPV integration pattern is a potent prognostic factor for tailored treatment of cervical cancer.",PMC3888442,10.1371/journal.pone.0078995,outbreak;genome,Human Papillomavirus,16507223,,
27161589,2016,American journal of kidney diseases : the official journal of the National Kidney Foundation,"Rhea, Sarah;Moorman, Anne;Pace, Robert;Mobley, Victoria;MacFarquhar, Jennifer;Robinson, Edward;Hayden, Tonya;Thai, Hong;Drobeniuc, Jan;Brooks, John T;Moore, Zack;Patel, Priti R",Hepatitis B Reverse Seroconversion and Transmission inÂ aÂ Hemodialysis Center: A Public Health Investigation andÂ CaseÂ Report.,"In March 2013, public health authorities were notified of a new hepatitis B virus (HBV) infection in a patient receiving hemodialysis. We investigated to identify the source and prevent additional infections. We reviewed medical records, interviewed the index patient regarding hepatitis B risk factors, performed HBV molecular analysis, and observed infection control practices at the outpatient hemodialysis facility where she received care. The index patient's only identified hepatitis B risk factor was hemodialysis treatment. The facility had no other patients with known active HBV infection. One patient had evidence of a resolved HBV infection. Investigation of this individual, who was identified as the source patient, indicated that HBV reverse seroconversion and reactivation had occurred in the setting of HIV (human immunodeficiency virus) infection and a failed kidney transplant. HBV whole genome sequences analysis from the index and source patients indicated 99.9% genetic homology. Facility observations revealed multiple infection control breaches. Inadequate dilution of the source patient's sample during HBV testing might have led to a false-negative result, delaying initiation of hemodialysis in isolation. In conclusion, HBV transmission occurred after an HIV-positive hemodialysis patient with transplant-related immunosuppression experienced HBV reverse seroconversion and reactivation. Providers should be aware of this possibility, especially among severely immunosuppressed patients, and maintain stringent infection control.",NA,NA,transmission;genome,Hepatitis B;Human Immunodeficy Virus,16549970,,
26755866,2016,World journal of gastroenterology,"Caligiuri, Patrizia;Cerruti, Rita;Icardi, Giancarlo;Bruzzone, Bianca",Overview of hepatitis B virus mutations and their implications in the management of infection.,"Hepatitis B virus (HBV) affects approximately two billion people worldwide and more than 240 million people in the world are currently chronic carrier that could develop serious complications in the future, like liver cirrhosis and hepatocellular carcinoma. Although an extended HBV immunization program is being carried out since the early '80s, representing effective preventive measure, leading to a dramatic reduction of HBV hepatitis incidence, globally HBV infection still represents a major public health problem. The HBV virus is a DNA virus belongs to the Hepadnaviridae family. The HBV-DNA is a circular, partial double strand genome. All coding information is on the minus DNA strand and it is organized into four open reading frames. Despite hepatitis B virus is a DNA virus, it has a high mutation rate due to its replicative strategy, that leads to the production of many non-identical variants at each cycle of replication. In fact, it contains a polymerase without the proofreading activity, and uses an RNA intermediate (pgRNA) during its replication, so error frequencies are comparable to those seen in retroviruses and other RNA viruses rather than in more stable DNA viruses. Due to the low fidelity of the polymerase, the high replication rate and the overlapping reading frames, mutations occur throughout the genome and they have been identified both in the structural and not structural gene. The arise of mutations being to develop of a whole of viral variants called &quot;quasi-species&quot; and the prevalent population, which favors virus replication, was selected by viral fitness, host's immune pressure and external pressure, i.e., vaccination or antiviral therapy. Naturally occurring mutations were found both in acute and chronic subjects. In the present review we examine and discuss the most recent available data about HBV genetic variability and its significance.",PMC4698481,10.3748/wjg.v22.i1.145,cancer;outbreak;transmission;clinical;treatment,Hepatitis B,16549970,,
23080488,2012,Journal of medical virology,"SmoleÅ„-Dzirba, Joanna;RosiÅ„ska, Magdalena;KruszyÅ„ski, Piotr;Bratosiewicz-WÄ…sik, Jolanta;Janiec, Janusz;Beniowski, Marek;BociÄ…ga-Jasik, Monika;JabÅ‚onowska, ElÅ_bieta;Szetela, Bartosz;Porter, Kholoud;WÄ…sik, Tomasz J",Molecular epidemiology of recent HIV-1 infections in southern Poland.,"The genetic diversity of human immunodeficiency virus type 1 (HIV-1) offers an opportunity to track the development of the epidemic across different populations. Viral pol gene fragments from 55 individuals of Polish origin with recent HIV-1 infection identified in 2008-2010 in four Polish cities were analyzed. Viral sequences were compared with sequences from 100 individuals (reference group) infected before 2004. Viral spread among groups with different HIV transmission categories was compared using a phylogenetic approach. The majority of sequences from individuals with recent infection were subtype B (93%) within which four transmission clusters (18% of samples) were detected. Samples from men infected through sex between men and from persons infected through injecting drugs were broadly separated (P &lt; 0.0001), while samples from individuals infected by heterosexual contacts were dispersed uniformly within phylogenetic tree (P = 0.244) inferred from viral sequences derived from individuals infected recently and the reference group. The percentage of samples from persons infected by heterosexual contacts which clustered with samples from men infected through sex between men was not significantly higher for those with recent infection (47%), compared to the reference group (36%). In conclusion, men infected by sex between men and individuals infected through injecting drugs appear to form separate HIV transmission networks in Poland. The recent spread of HIV-1 among persons infected with subtype B by heterosexual contacts appears to be linked to both these groups.",NA,NA,outbreak;transmission;genome;diversity;characterization;phylogeny,Human Immunodeficy Virus,16842218,,
28672035,2017,PLoS pathogens,"Bell, Sidney M;Bedford, Trevor",Modern-day SIV viral diversity generated by extensive recombination and cross-species transmission.,"Cross-species transmission (CST) has led to many devastating epidemics, but is still a poorly understood phenomenon. HIV-1 and HIV-2 (human immunodeficiency virus 1 and 2), which have collectively caused over 35 million deaths, are the result of multiple CSTs from chimpanzees, gorillas, and sooty mangabeys. While the immediate history of HIV is known, there are over 45 lentiviruses that infect specific species of primates, and patterns of host switching are not well characterized. We thus took a phylogenetic approach to better understand the natural history of SIV recombination and CST. We modeled host species as a discrete character trait on the viral phylogeny and inferred historical host switches and the pairwise transmission rates between each pair of 24 primate hosts. We identify 14 novel, well-supported, ancient cross-species transmission events. We also find that lentiviral lineages vary widely in their ability to infect new host species: SIVcol (from colobus monkeys) is evolutionarily isolated, while SIVagms (from African green monkeys) frequently move between host subspecies. We also examine the origins of SIVcpz (the predecessor of HIV-1) in greater detail than previous studies, and find that there are still large portions of the genome with unknown origins. Observed patterns of CST are likely driven by a combination of ecological circumstance and innate immune factors.",NA,NA,transmission,Human Immunodeficy Virus,16842218,,
26442781,2015,Scientific reports,"Strachan, Norval J C;Rotariu, Ovidiu;Lopes, Bruno;MacRae, Marion;Fairley, Susan;Laing, Chad;Gannon, Victor;Allison, Lesley J;Hanson, Mary F;Dallman, Tim;Ashton, Philip;Franz, Eelco;van Hoek, Angela H A M;French, Nigel P;George, Tessy;Biggs, Patrick J;Forbes, Ken J",Whole Genome Sequencing demonstrates that Geographic Variation of Escherichia coli O157 Genotypes Dominates Host Association.,"Genetic variation in an infectious disease pathogen can be driven by ecological niche dissimilarities arising from different host species and different geographical locations. Whole genome sequencing was used to compare E. coli O157 isolates from host reservoirs (cattle and sheep) from Scotland and to compare genetic variation of isolates (human, animal, environmental/food) obtained from Scotland, New Zealand, Netherlands, Canada and the USA. Nei's genetic distance calculated from core genome single nucleotide polymorphisms (SNPs) demonstrated that the animal isolates were from the same population. Investigation of the Shiga toxin bacteriophage and their insertion sites (SBI typing) revealed that cattle and sheep isolates had statistically indistinguishable rarefaction profiles, diversity and genotypes. In contrast, isolates from different countries exhibited significant differences in Nei's genetic distance and SBI typing. Hence, after successful international transmission, which has occurred on multiple occasions, local genetic variation occurs, resulting in a global patchwork of continental and trans-continental phylogeographic clades. These findings are important for three reasons: first, understanding transmission and evolution of infectious diseases associated with multiple host reservoirs and multi-geographic locations; second, highlighting the relevance of the sheep reservoir when considering farm based interventions; and third, improving our understanding of why human disease incidence varies across the world.",PMC4595763,10.1038/srep14145,geography;genome;mBio;clinical,Escherichia coli,17148079,,
28593194,2017,mSphere,"Gordon, David M;Geyik, Sarah;Clermont, Olivier;O'Brien, Claire L;Huang, Shiwei;Abayasekara, Charmalie;Rajesh, Ashwin;Kennedy, Karina;Collignon, Peter;Pavli, Paul;Rodriguez, Christophe;Johnston, Brian D;Johnson, James R;Decousser, Jean-Winoc;Denamur, Erick","Fine-Scale Structure Analysis Shows Epidemic Patterns of Clonal Complex 95, a Cosmopolitan Escherichia coli Lineage Responsible for Extraintestinal Infection.","The Escherichia coli lineage known as clonal complex 95 (CC95) is a cosmopolitan human-associated lineage responsible for a significant fraction of extraintestinal infections of humans. Whole-genome sequence data of 200 CC95 strains from various origins enabled determination of the CC95 pangenome. The pangenome analysis revealed that strains of the complex could be assigned to one of five subgroups that vary in their serotype, extraintestinal virulence, virulence gene content, and antibiotic resistance gene profile. A total of 511 CC95 strains isolated from humans living in France, Australia, and the United States were screened for their subgroup membership using a PCR-based method. The CC95 subgroups are nonrandomly distributed with respect to their geographic origin. The relative frequency of the subgroups was shown to change through time, although the nature of the changes varies with continent. Strains of the subgroups are also nonrandomly distributed with respect to source of isolation (blood, urine, or feces) and host sex. Collectively, the evidence indicates that although strains belonging to CC95 may be cosmopolitan, human movement patterns have been insufficient to homogenize the distribution of the CC95 subgroups. Rather, the manner in which CC95 strains evolve appears to vary both spatially and temporally. Although CC95 strains appeared globally as pandemic, fine-scale structure analysis shows epidemic patterns of the CC95 subgroups. Furthermore, the observation that the relative frequency of CC95 subgroups at a single locality has changed over time indicates that the relative fitness of the subgroups has changed. IMPORTANCEEscherichia coli clonal complex 95 represents a cosmopolitan, genetically diverse lineage, and the extensive substructure observed in this lineage is epidemiologically and clinically relevant. The frequency with which CC95 strains are responsible for extraintestinal infection appears to have been stable over the past 15Â years. However, the different subgroups identified within this lineage have an epidemic structure depending on the host, sample, continent, and time. Thus, the evolution and spread of strains belonging to CC95 are very different from those of another cosmopolitan human-associated clonal complex, CC131, which has increased significantly in frequency as a cause of extraintestinal infection over the past 15 years due to the evolution and spread of two very closely related, nearly monomorphic lineages.",NA,NA,genome;diversity;drug resistance;geography;phylogeny;mBio,Escherichia coli,17148079,,
22649022,2012,Journal of clinical microbiology,"Adams, Lisa V;Kreiswirth, Barry N;Arbeit, Robert D;Soini, Hanna;Mtei, Lillian;Matee, Mecky;Bakari, Muhammad;Lahey, Timothy;Wieland-Alter, Wendy;Shashkina, Elena;Kurepina, Natalia;Driscoll, Jeffrey R;Pallangyo, Kisali;Horsburgh, C Robert;von Reyn, C Fordham","Molecular epidemiology of HIV-associated tuberculosis in Dar es Salaam, Tanzania: strain predominance, clustering, and polyclonal disease.","Molecular typing of Mycobacterium tuberculosis can be used to elucidate the epidemiology of tuberculosis, including the rates of clustering, the frequency of polyclonal disease, and the distribution of genotypic families. We performed IS6110 typing and spoligotyping on M. tuberculosis strains isolated from HIV-infected subjects at baseline or during follow-up in the DarDar Trial in Tanzania and on selected community isolates. Clustering occurred in 203 (74%) of 275 subjects: 124 (80%) of 155 HIV-infected subjects with baseline isolates, 56 (69%) of 81 HIV-infected subjects with endpoint isolates, and 23 (59%) of 39 community controls. Overall, 113 (41%) subjects had an isolate representing the East Indian &quot;GD&quot; family. The rate of clustering was similar among vaccine and placebo recipients and among subjects with or without cellular immune responses to mycobacterial antigens. Polyclonal disease was detected in 6 (43%) of 14 patients with multiple specimens typed. Most cases of HIV-associated tuberculosis among subjects from this study in Dar es Salaam resulted from recently acquired infection. Polyclonal infection was detected and isolates representing the East Indian GD strain family were the most common.",PMC3421504,10.1128/JCM.00624-12,genotype;cluster;characterization;genome,Mycobacterium tuberculosis;Human Immunodeficy Virus,17166963,,
23252849,2012,Microbiology and immunology,"Sunbul, Mustafa;Sugiyama, Masaya;Kurbanov, Fuat;Leblebicioglu, Hakan;Khan, Anis;Elkady, Abeer;Tanaka, Yasuhito;Mizokami, Masashi",Specific mutations of basal core promoter are associated with chronic liver disease in hepatitis B virus subgenotype D1 prevalent in Turkey.,"The role of hepatitis B virus (HBV) genetics in the clinical manifestations of infection is being increasingly recognized. Genotype D is one of eight currently recognized major HBV genotypes. The virus is ubiquitous worldwide, but shows different features in different regions. One hundred and ninety-eight patients with chronic HBV infection were enrolled in this study, 38 of whom had been diagnosed with cirrhosis of the liver and/or hepatocellular carcinoma. HBV DNA was isolated from the patients' blood samples and the entire genome and/or the basal core promoter/core promoter region sequenced. Phylogenetic analysis of the complete genomes revealed that subgenotype D1 is the most prevalent subgenotype in Turkey, but there was no definite phylogenetic grouping according to geography for isolates from different regions within Turkey, or for isolates in Turkey relative to other parts of the world. Turkish isolates tended to be genetically similar to European and central Asian isolates. Overall, HBV-infection in Turkey appears to be characterized by early HBeAg seroconversion, a high incidence of the A1896 core promoter mutation and a small viral load. Genotype D characteristic mutations A1757 and T1764/G1766 were found in the BCP region. T1773 was associated with T1764/G1766 and a larger viral load. In conclusion, infection with HBV genotype D in Turkey has a similar clinical outcome to that of Europe and central Asia. Genotypic mutations in genotype D may be linked with disease prognosis in Turkey, but further studies with higher sample numbers and balanced clinical groups are needed to confirm this.",NA,NA,cancer;clinical;outcome;genotype;genome;diagnosis;phylogeny,Hepatitis B,17211692,,
23637496,2011,Indian journal of virology : an official organ of Indian Virological Society,"Kumar, Ajay;Dwivedi, Manisha;Misra, S P;Narang, Sushil;Tiwari, Balesh Kumar;Pandey, Renu","Clinical profile, genotype and management updates of hepatitis B virus.","Hepatitis B virus (HBV) is a well known agent of acute and chronic hepatitis, liver cirrhosis and hepatocellular carcinoma. Around 400 million people worldwide carrier of HBV of which more than 250 million reside in Asia, and 1-2Â million people have died from it. It has a partially double-stranded DNA, having 3.2-kb genome size and replicate via reverse transcription of RNA intermediate. In the natural history or during the antiviral therapy of chronic HBV infection, seroconversion from HBeAg to anti-HBeAg is usually accompanied by a decrease in viral replication and remission of liver disease. Based on genomic sequence data HBV is classified into eight genotypes A-H and four major serotypes ayw, ayr, adw and adr on the basis of complete genome and S gene sequence analysis. Genotypes and serotypes are useful tools in understanding the epidemiology of HBV infection. HBV genotypes have distinct geographical distributions. The HBV variants appear during HBeAg seroconversion and they bring mutations in the precore region (PC) that prevent HBeAg synthesis. Another common HBeAg variant is the basal core promoter mutant (BCP) characterized by point mutation in the promoter of both HBeAg mRNA and core protein mRNA. The most frequent core promoter mutation is the double A1762T and G1764A nucleotide exchange, which results in a substantial decrease in HBeAg expression but enhanced viral genome replication. The approved antiviral drugs such as Interferon, lamivudine, adefovir dipivoxil, entecavir and telbivudine for purpose of treating chronic HBV infection is to prevent or stop the progression of liver injury by suppressing viral replication or eliminating infection. Sustained losses of viral markers of active viral replication (HBeAg and HBV DNA) are the standard end point of the therapies.",PMC3550728,10.1007/s13337-011-0037-0,cancer;geography;genome;genotype;characterization;clinical;treatment;outbreak;international,Hepatitis B,17211692,,
23183198,2012,Japanese journal of infectious diseases,"Shi, Ying-Hui",Correlation between hepatitis B virus genotypes and clinical outcomes.,"Hepatitis B virus (HBV) has been classified into 10 genotypes (A-J) according to genome sequence divergence. HBV genotypes have a distinct geographical distribution. As chronic HBV infection is endemic in the Asian region, genotypes B and C prevail there, and genotypes A and D are mainly found in the western world and Europe. Genotypes A, B, C, and D have been studied most extensively. In Europe and Asia, most patients with genotypes A and B have acute hepatitis B; however, some mutants may tend to cause fulminant hepatitis B. Many studies have indicated that the severity and outcomes of chronic hepatitis B infections are more serious in patients with genotypes C and D than in those with genotypes A and B. Cirrhosis and hepatocellular carcinoma (HCC) are more frequently diagnosed in carriers of genotypes C and D than in those of genotypes A and B. Accumulating evidence indicated that higher plasma HBV DNA levels, infection with HBV genotype C, as well as mutations at 1653T, 1753V, and A1762T/G1764A are independently associated with the risk of HCC in Asian men. However, the therapeutic responses differ with regard to the different HBV genotypes. For example, the response to interferon-Î± treatment in patients with genotypes A and B was better than that in patients with genotypes C, D, and mixed genotypes. Some studies have shown seroconversion after treatment, i.e., genotypes A and C may switch to genotypes D and B, respectively. Some reports indicated a correlation between the emergence of the hepatitis B e antigen-negative variant in patients with genotypes C and D and worsening of liver injury without sustained response. In order to provide better treatment options for these poorly responding patients, further studies, e.g, novel immunomodulatory therapies, are required. Many studies have shown that HBV genotypes have remarkable clinical and epidemical differences; however, HBV sub-genotypes, mixed genotype infections, and the effect of different genotypes on the treatment of HBV infections require further studies.",NA,NA,cancer;geography;clinical;outcome;genotype;genome;outbreak;international,Hepatitis B,17380283,,
22004137,2011,Viral immunology,"Liu, Lifeng;Li, Jin;Yao, Jinjian;Yu, Jinling;Zhang, Jinliang;Ning, Qin;Wen, Zirong;Yang, Daguo;He, Yongwen;Kong, Xinjuan;Song, Qilong;Chen, Man;Yang, Hong;Liu, Qing;Li, Senlin;Lin, Jusheng",A genome-wide association study with DNA pooling identifies the variant rs11866328 in the GRIN2A gene that affects disease progression of chronic HBV infection.,"Host genetics play a vital role in determining clinical outcomes of hepatitis B virus (HBV) infection. To identify novel susceptibility loci to HBV progression, we carried out a genome-wide association study with DNA pooling. This study assessed the relationship between 8 highly-ranked SNPs selected from our DNA pool and disease progression of HBV infection in two independent case-control studies. The first population included 628 asymptomatic HBV carriers (AsC) and 1729 progressed HBV carriers recruited from Hubei Province in south China. The second population was composed of 226 AsC and 215 progressed HBV carriers recruited from Shandong Province in north China. Of the 8 SNPs, variant rs11866328 (G/T), located in the glutamate receptor ionotropic N-methyl D-aspartate 2A (GRIN2A) gene, was replicated and had significant associations with disease progression of HBV infection in the DNA pooling stage both in the Hubei (OR 1.65; 95% CI 1.34,2.02; p=1.96 Ã— 10(-6); additive model), and in the Shandong (OR 1.73; 95% CI 1.14,2.65; p=1.00Ã—10(-2); additive model) population. Polymorphism rs11866328 in the GRIN2A gene might be a genetic variant underlying the susceptibility of HBV carriers to disease progression.",NA,NA,clinical;outcome,Hepatitis B,17380283,,
25187549,2014,Journal of virology,"Ramachandran, Sumathi;Purdy, Michael A;Xia, Guo-liang;Campo, David S;Dimitrova, Zoya E;Teshale, Eyasu H;Teo, Chong Gee;Khudyakov, Yury E",Recent population expansions of hepatitis B virus in the United States.,"The recent epidemic history of hepatitis B virus (HBV) infections in the United States is complex, as indicated by current disparity in HBV genotype distribution between acute and chronic hepatitis B cases and the rapid decline in hepatitis B incidence since the 1990s. We report temporal changes in the genetic composition of the HBV population using whole-genome sequences (n = 179) from acute hepatitis B cases (n = 1,206) identified through the Sentinel County Surveillance for Acute Hepatitis (1998 to 2006). HBV belonged mainly to subtypes A2 (75%) and D3 (18%), with times of their most recent common ancestors being 1979 and 1987, respectively. A2 underwent rapid population expansions in ca. 1995 and ca. 2002, coinciding with transient rises in acute hepatitis B notification rates among adults; D3 underwent expansion in ca. 1998. A2 strains from cases identified after 2002, compared to those before 2002, tended to cluster phylogenetically, indicating selective expansion of specific strains, and were significantly reduced in genetic diversity (P = 0.001) and frequency of drug resistance mutations (P = 0.001). The expansion of genetically close HBV A2 strains was associated with risk of infection among male homosexuals (P = 0.03). Incident HBV strains circulating in the United States were recent in origin and restricted in genetic diversity. Disparate transmission dynamics among phylogenetic lineages affected the genetic composition of HBV populations and their capacity to maintain drug resistance mutations. The tendency of selectively expanding HBV strains to be transmitted among male homosexuals highlights the need to improve hepatitis B vaccination coverage among at-risk adults.</AbstractText>: The recent epidemic history of hepatitis B virus (HBV) infections in the United States is complex, as indicated by current disparity in HBV genotype distribution between acute and chronic hepatitis B cases and the rapid decline in hepatitis B incidence since the 1990s. We report temporal changes in the genetic composition of the HBV population using whole-genome sequences (n = 179) from acute hepatitis B cases (n = 1,206) identified through the Sentinel County Surveillance for Acute Hepatitis (1998 to 2006). HBV belonged mainly to subtypes A2 (75%) and D3 (18%), with times of their most recent common ancestors being 1979 and 1987, respectively. A2 underwent rapid population expansions in ca. 1995 and ca. 2002, coinciding with transient rises in acute hepatitis B notification rates among adults; D3 underwent expansion in ca. 1998. A2 strains from cases identified after 2002, compared to those before 2002, tended to cluster phylogenetically, indicating selective expansion of specific strains, and were significantly reduced in genetic diversity (P = 0.001) and frequency of drug resistance mutations (P = 0.001). The expansion of genetically close HBV A2 strains was associated with risk of infection among male homosexuals (P = 0.03). Incident HBV strains circulating in the United States were recent in origin and restricted in genetic diversity. Disparate transmission dynamics among phylogenetic lineages affected the genetic composition of HBV populations and their capacity to maintain drug resistance mutations. The tendency of selectively expanding HBV strains to be transmitted among male homosexuals highlights the need to improve hepatitis B vaccination coverage among at-risk adults.IMPORTANCE: Hepatitis B virus (HBV) remains an important cause of acute and chronic liver disease globally and in the United States. Genetic analysis of HBV whole genomes from cases of acute hepatitis B identified from 1998 to 2006 in the United States showed dominance of genotype A2 (75%), followed by D3 (18%). Strains of both subtypes were recent in origin and underwent rapid population expansions from 1995 to 2000, indicating increase in transmission rate for certain HBV strains during a period of decline in the reported incidence of acute hepatitis B in the United States. HBV A2 strains from a particular cluster that experienced the most recent population expansion were more commonly detected among men who have sex with men. Vaccination needs to be stepped up to protect persons who remain at risk of HBV infection.",PMC4249146,10.1128/JVI.01594-14,genotype;drug resistance;genome;mBio;diversity;characterization,Hepatitis B,17407706,,
21739442,2011,Journal of medical virology,"Venegas, Mauricio;Alvarado-Mora, MÃ_nica V;Villanueva, Rodrigo A;Rebello Pinho, JoÃ£o R;Carrilho, Flair J;Locarnini, Stephen;Yuen, Lilly;Brahm, Javier",Phylogenetic analysis of hepatitis B virus genotype F complete genome sequences from Chilean patients with chronic infection.,"Molecular epidemiological data concerning the hepatitis B virus (HBV) in Chile are not known completely. Since the HBV genotype F is the most prevalent in the country, the goal of this study was to obtain full HBV genome sequences from patients infected chronically in order to determine their subgenotypes and the occurrence of resistance-associated mutations. Twenty-one serum samples from antiviral drug-naive patients with chronic hepatitis B were subjected to full-length PCR amplification, and both strands of the whole genomes were fully sequenced. Phylogenetic analyses were performed along with reference sequences available from GenBank (n = 290). The sequences were aligned using Clustal X and edited in the SE-AL software. Bayesian phylogenetic analyses were conducted by Markov Chain Monte Carlo simulations (MCMC) for 10 million generations in order to obtain the substitution tree using BEAST. The sequences were also analyzed for the presence of primary drug resistance mutations using CodonCode Aligner Software. The phylogenetic analyses indicated that all sequences were found to be the HBV subgenotype F1b, clustered into four different groups, suggesting that diverse lineages of this subgenotype may be circulating within this population of Chilean patients.",NA,NA,genotype;drug resistance;genome;phylogeny;mBio,Hepatitis B,17407706,,
25031349,2014,Journal of virology,"Corman, Victor Max;Ithete, Ndapewa Laudika;Richards, Leigh Rosanne;Schoeman, M Corrie;Preiser, Wolfgang;Drosten, Christian;Drexler, Jan Felix",Rooting the phylogenetic tree of middle East respiratory syndrome coronavirus by characterization of a conspecific virus from an African bat.,"The emerging Middle East respiratory syndrome coronavirus (MERS-CoV) causes lethal respiratory infections mainly on the Arabian Peninsula. The evolutionary origins of MERS-CoV are unknown. We determined the full genome sequence of a CoV directly from fecal material obtained from a South African Neoromicia capensis bat (NeoCoV). NeoCoV shared essential details of genome architecture with MERS-CoV. Eighty-five percent of the NeoCoV genome was identical to MERS-CoV at the nucleotide level. Based on taxonomic criteria, NeoCoV and MERS-CoV belonged to one viral species. The presence of a genetically divergent S1 subunit within the NeoCoV spike gene indicated that intraspike recombination events may have been involved in the emergence of MERS-CoV. NeoCoV constitutes a sister taxon of MERS-CoV, placing the MERS-CoV root between a recently described virus from African camels and all other viruses. This suggests a higher level of viral diversity in camels than in humans. Together with serologic evidence for widespread MERS-CoV infection in camelids sampled up to 20 years ago in Africa and the Arabian Peninsula, the genetic data indicate that camels act as sources of virus for humans rather than vice versa. The majority of camels on the Arabian Peninsula is imported from the Greater Horn of Africa, where several Neoromicia species occur. The acquisition of MERS-CoV by camels from bats might have taken place in sub-Saharan Africa. Camelids may represent mixing vessels for MERS-CoV and other mammalian CoVs.</AbstractText>: The emerging Middle East respiratory syndrome coronavirus (MERS-CoV) causes lethal respiratory infections mainly on the Arabian Peninsula. The evolutionary origins of MERS-CoV are unknown. We determined the full genome sequence of a CoV directly from fecal material obtained from a South African Neoromicia capensis bat (NeoCoV). NeoCoV shared essential details of genome architecture with MERS-CoV. Eighty-five percent of the NeoCoV genome was identical to MERS-CoV at the nucleotide level. Based on taxonomic criteria, NeoCoV and MERS-CoV belonged to one viral species. The presence of a genetically divergent S1 subunit within the NeoCoV spike gene indicated that intraspike recombination events may have been involved in the emergence of MERS-CoV. NeoCoV constitutes a sister taxon of MERS-CoV, placing the MERS-CoV root between a recently described virus from African camels and all other viruses. This suggests a higher level of viral diversity in camels than in humans. Together with serologic evidence for widespread MERS-CoV infection in camelids sampled up to 20 years ago in Africa and the Arabian Peninsula, the genetic data indicate that camels act as sources of virus for humans rather than vice versa. The majority of camels on the Arabian Peninsula is imported from the Greater Horn of Africa, where several Neoromicia species occur. The acquisition of MERS-CoV by camels from bats might have taken place in sub-Saharan Africa. Camelids may represent mixing vessels for MERS-CoV and other mammalian CoVs.IMPORTANCE: It is unclear how, when, and where the highly pathogenic MERS-CoV emerged. We characterized the full genome of an African bat virus closely related to MERS-CoV and show that human, camel, and bat viruses belong to the same viral species. The bat virus roots the phylogenetic tree of MERS-CoV, providing evidence for an evolution of MERS-CoV in camels that preceded that in humans. The revised tree suggests that humans are infected by camels rather than vice versa. Although MERS-CoV cases occur mainly on the Arabian Peninsula, the data from this study together with serologic and molecular investigations of African camels indicate that the initial host switch from bats may have taken place in Africa. The emergence of MERS-CoV likely involved exchanges of genetic elements between different viral ancestors. These exchanges may have taken place either in bat ancestors or in camels acting as mixing vessels for viruses from different hosts.",PMC4178802,10.1128/JVI.01498-14,phylogeny;genome,SARS Coronavirus;MERS coronavirus,17488094,,
