samplePhase,PMID,YearPub,Journal,Authors,Title,Abstract,PMCID,DOI,concepts,revised concepts,Pathogen,Include ,Exclusion Reason
First,25903575,2015,Journal of clinical microbiology,"Stoesser, N;Sheppard, A E;Moore, C E;Golubchik, T;Parry, C M;Nget, P;Saroeun, M;Day, N P J;Giess, A;Johnson, J R;Peto, T E A;Crook, D W;Walker, A S",Extensive Within-Host Diversity in Fecally Carried Extended-Spectrum-Beta-Lactamase-Producing Escherichia coli Isolates: Implications for Transmission Analyses.,"Studies of the transmission epidemiology of antimicrobial-resistant Escherichia coli, such as strains harboring extended-spectrum beta-lactamase (ESBL) genes, frequently use selective culture of rectal surveillance swabs to identify isolates for molecular epidemiological investigation. Typically, only single colonies are evaluated, which risks underestimating species diversity and transmission events. We sequenced the genomes of 16 E. coli colonies from each of eight fecal samples (n = 127 genomes; one failure), taken from different individuals in Cambodia, a region of high ESBL-producing E. coli prevalence. Sequence data were used to characterize both the core chromosomal diversity of E. coli isolates and their resistance/virulence gene content as a proxy measure of accessory genome diversity. The 127 E. coli genomes represented 31 distinct sequence types (STs). Seven (88%) of eight subjects carried ESBL-positive isolates, all containing blaCTX-M variants. Diversity was substantial, with a median of four STs/individual (range, 1 to 10) and wide genetic divergence at the nucleotide level within some STs. In 2/8 (25%) individuals, the same blaCTX-M variant occurred in different clones, and/or different blaCTX-M variants occurred in the same clone. Patterns of other resistance genes and common virulence factors, representing differences in the accessory genome, were also diverse within and between clones. The substantial diversity among intestinally carried ESBL-positive E. coli bacteria suggests that fecal surveillance, particularly if based on single-colony subcultures, will likely underestimate transmission events, especially in high-prevalence settings.",PMC4473215,10.1128/JCM.00378-15,drug resistance;genome;diversity,drug resistance;genome;diversity;transmission,Escherichia coli,Y,
First,25903077,2015,Genome biology,"Hsu, Li-Yang;Harris, Simon R;Chlebowicz, Monika A;Lindsay, Jodi A;Koh, Tse-Hsien;Krishnan, Prabha;Tan, Thean-Yen;Hon, Pei-Yun;Grubb, Warren B;Bentley, Stephen D;Parkhill, Julian;Peacock, Sharon J;Holden, Matthew T G",Evolutionary dynamics of methicillin-resistant Staphylococcus aureus within a healthcare system.,"BACKGROUND: In the past decade, several countries have seen gradual replacement of endemic multi-resistant healthcare-associated methicillin-resistant Staphylococcus aureus (MRSA) with clones that are more susceptible to antibiotic treatment. One example is Singapore, where MRSA ST239, the dominant clone since molecular profiling of MRSA began in the mid-1980s, has been replaced by ST22 isolates belonging to EMRSA-15, a recently emerged pandemic lineage originating from Europe.RESULTS: We investigated the population structure of MRSA in Singaporean hospitals spanning three decades, using whole genome sequencing. Applying Bayesian phylogenetic methods we report that prior to the introduction of ST22, the ST239 MRSA population in Singapore originated from multiple introductions from the surrounding region; it was frequently transferred within the healthcare system resulting in a heterogeneous hospital population. Following the introduction of ST22 around the beginning of the millennium, this clone spread rapidly through Singaporean hospitals, supplanting the endemic ST239 population. Coalescent analysis revealed that although the genetic diversity of ST239 initially decreased as ST22 became more dominant, from 2007 onwards the genetic diversity of ST239 began to increase once more, which was not associated with the emergence of a sub-clone of ST239. Comparative genomic analysis of the accessory genome of the extant ST239 population identified that the Arginine Catabolic Mobile Element arose multiple times, thereby introducing genes associated with enhanced skin colonization into this population.CONCLUSIONS: Our results clearly demonstrate that, alongside clinical practice and antibiotic usage, competition between clones also has an important role in driving the evolution of nosocomial pathogen populations.",PMC4407387,10.1186/s13059-015-0643-z,drug resistance;genome;diversity;mBio,drug resistance;genome;diversity;mBio;hospital;geography,Staphylococcus aureus,Y,
First,25900487,2015,Journal of the American Geriatrics Society,"Pagani, Leonardo;Thomas, Yves;Huttner, Benedikt;Sauvan, ValÃ©rie;Notaridis, Grigorios;Kaiser, Laurent;Iten, Anne;Pittet, Didier;Harbarth, Stephan",Transmission and effect of multiple clusters of seasonal influenza in a Swiss geriatric hospital.,"OBJECTIVES: To investigate a nosocomial outbreak of influenza.DESIGN: Prospective outbreak investigation with active case finding and molecular typing.SETTING: A large academic geriatric hospital in Switzerland.PARTICIPANTS: Elderly hospitalized adults.MEASUREMENTS: Based on syndromic surveillance, a nosocomial influenza outbreak was suspected in February 2012. All suspected cases were screened for respiratory viruses using real-time reverse transcription polymerase chain reaction of nasopharyngeal swabs. Infection control procedures (droplet precautions with single room isolation whenever possible) were implemented for all suspected or confirmed cases. Specimens positive for influenza viruses were processed and sequenced whenever possible to track transmission dynamics.RESULTS: Respiratory samples from 155 suspected cases were analyzed during the outbreak period, of which 69 (44%) were positive for influenza virus, 26 (17%) were positive for other respiratory viruses, and 60 (39%) were negative. Three other cases fulfilled clinical criteria for influenza infection but were not sampled, and one individual was admitted with an already positive test, resulting in a total of 73 influenza cases, of which 62 (85%) were classified as nosocomial. Five distinct clusters of nosocomial transmission were identified using viral sequencing, with epidemiologically unexpected in-hospital transmission dynamics. Seven of 23 patients who experienced influenza complications died. Sixteen healthcare workers experienced an influenza-like illness (overall vaccination rate, 36%).CONCLUSION: Nosocomial influenza transmission caused more secondary cases than repeated community importation during this polyclonal outbreak. Molecular tools revealed complex transmission dynamics. Low healthcare worker vaccination rates and gaps in recommended infection control procedures are likely to have contributed to nosocomial spread of influenza, which remains a potentially life-threatening disease in elderly adults.",NA,NA,outbreak;mBio,,Haemophilus Influenza,Y,
First,25837569,2015,The Lancet. Infectious diseases,"Greninger, Alexander L;Naccache, Samia N;Messacar, Kevin;Clayton, Anna;Yu, Guixia;Somasekar, Sneha;Federman, Scot;Stryke, Doug;Anderson, Christopher;Yagi, Shigeo;Messenger, Sharon;Wadford, Debra;Xia, Dongxiang;Watt, James P;Van Haren, Keith;Dominguez, Samuel R;Glaser, Carol;Aldrovandi, Grace;Chiu, Charles Y",A novel outbreak enterovirus D68 strain associated with acute flaccid myelitis cases in the USA (2012-14): a retrospective cohort study.,"BACKGROUND: Enterovirus D68 was implicated in a widespread outbreak of severe respiratory illness across the USA in 2014 and has also been reported sporadically in patients with acute flaccid myelitis. We aimed to investigate the association between enterovirus D68 infection and acute flaccid myelitis during the 2014 enterovirus D68 respiratory outbreak in the USA.METHODS: Patients with acute flaccid myelitis who presented to two hospitals in Colorado and California, USA, between Nov 24, 2013, and Oct 11, 2014, were included in the study. Additional cases identified from Jan 1, 2012, to Oct 4, 2014, via statewide surveillance were provided by the California Department of Public Health. We investigated the cause of these cases by metagenomic next-generation sequencing, viral genome recovery, and enterovirus D68 phylogenetic analysis. We compared patients with acute flaccid myelitis who were positive for enterovirus D68 with those with acute flaccid myelitis but negative for enterovirus D68 using the two-tailed Fisher's exact test, two-sample unpaired t test, and Mann-Whitney U test.FINDINGS: 48 patients were included: 25 with acute flaccid myelitis, two with enterovirus-associated encephalitis, five with enterovirus-D68-associated upper respiratory illness, and 16 with aseptic meningitis or encephalitis who tested positive for enterovirus. Enterovirus D68 was detected in respiratory secretions from seven (64%) of 11 patients comprising two temporally and geographically linked acute flaccid myelitis clusters at the height of the 2014 outbreak, and from 12 (48%) of 25 patients with acute flaccid myelitis overall. Phylogenetic analysis revealed that all enterovirus D68 sequences associated with acute flaccid myelitis grouped into a clade B1 strain that emerged in 2010. Of six coding polymorphisms in the clade B1 enterovirus D68 polyprotein, five were present in neuropathogenic poliovirus or enterovirus D70, or both. One child with acute flaccid myelitis and a sibling with only upper respiratory illness were both infected by identical enterovirus D68 strains. Enterovirus D68 viraemia was identified in a child experiencing acute neurological progression of his paralytic illness. Deep metagenomic sequencing of cerebrospinal fluid from 14 patients with acute flaccid myelitis did not reveal evidence of an alternative infectious cause to enterovirus D68.INTERPRETATION: These findings strengthen the putative association between enterovirus D68 and acute flaccid myelitis and the contention that acute flaccid myelitis is a rare yet severe clinical manifestation of enterovirus D68 infection in susceptible hosts.FUNDING: National Institutes of Health, University of California, Abbott Laboratories, and the Centers for Disease Control and Prevention.",NA,NA,control;genome;phylogeny;diversity,,Microbiota; Enterovirus D68,Y,
First,25779010,2015,Medecine et maladies infectieuses,"Alibi, S;Ferjani, A;Boukadida, J",Molecular characterization of extended spectrum beta-lactamases produced by Klebsiella pneumoniae clinical strains from a Tunisian Hospital.,"OBJECTIVES: Extended-spectrum Î_-lactamases are widespread in hospital settings worldwide. The prevalence of ESBL producing Klebsiella pneumoniae (ESBL-KP) strains isolated from patients has recently increased in Tunisia. We conducted this study to determine the prevalence and the genetic characterization of ESBL-KP in a Tunisian Hospital.PATIENTS AND METHODS: We performed antibiotic susceptibility testing, multiplex PCR, and DNA sequencing analysis on 118 non repetitive K.Â pneumonia strains isolated during three years, to determine the prevalence and genotypes of ESBL among K.Â pneumoniae clinical isolates.RESULTS: Most ESBL-producing K.Â pneumonia strains were isolated from hospitalized patients, especially in neonatal and pediatric wards. The resistance to other antibiotics was high. Most of the pathogens were isolated from the urinary tract (86.44%). Carbapenems were the most effective antimicrobial agents followed by amikacin and fosfomycin. The rate of blaSHV, blaTEM, and blaCTX-M genes among the isolates was 89, 56.78, and 81.35%, respectively. Sequencing revealed the amplicons encoding TEM-1, TEM-53, TEM-158, SHV-1, SHV-11, SHV-28, CTX-M-15, CTX-M-15-like. The blaCTX-M-15 was the dominant gene among Tunisian isolates, but this was the first report of blaTEM-53 and blaTEM-158 genes in the country.CONCLUSIONS: Our results confirm the predominance of CTX-M-15 in Tunisia. To our knowledge, this is the first report of TEM-158 and TEM-53 in Tunisia.",NA,NA,drug resistance;characterization;mBio;outbreak;hospital,,Klebsiella pneumonia,N,no figures
First,25736880,2015,mBio,"Baines, Sarah L;Holt, Kathryn E;Schultz, Mark B;Seemann, Torsten;Howden, Brian O;Jensen, Slade O;van Hal, Sebastiaan J;Coombs, Geoffrey W;Firth, Neville;Powell, David R;Stinear, Timothy P;Howden, Benjamin P",Convergent adaptation in the dominant global hospital clone ST239 of methicillin-resistant Staphylococcus aureus.,"Infections caused by highly successful clones of hospital-associated methicillin-resistant Staphylococcus aureus (HA-MRSA) are a major public health burden. The globally dominant sequence type 239 (ST239) HA-MRSA clone has persisted in the health care setting for decades, but the basis of its success has not been identified. Taking a collection of 123 ST239 isolates spanning 32 years, we have used population-based functional genomics to investigate the evolution of this highly persistent and successful clone. Phylogenetic reconstruction and population modeling uncovered a previously unrecognized distinct clade of ST239 that was introduced into Australia from Asia and has perpetuated the epidemic in this region. Functional analysis demonstrated attenuated virulence and enhanced resistance to last-line antimicrobials, the result of two different phenomena, adaptive evolution within the original Australian ST239 clade and the introduction of a new clade displaying shifts in both phenotypes. The genetic diversity between the clades allowed us to employ genome-wide association testing and identify mutations in other essential regulatory systems, including walKR, that significantly associate with and may explain these key phenotypes. The phenotypic convergence of two independently evolving ST239 clades highlights the very strong selective pressures acting on HA-MRSA, showing that hospital environments have favored the accumulation of mutations in essential MRSA genes that increase resistance to antimicrobials, attenuate virulence, and promote persistence in the health care environment. Combinations of comparative genomics and careful phenotypic measurements of longitudinal collections of clinical isolates are giving us the knowledge to intelligently address the impact of current and future antibiotic usage policies and practices on hospital pathogens globally.</AbstractText>: Infections caused by highly successful clones of hospital-associated methicillin-resistant Staphylococcus aureus (HA-MRSA) are a major public health burden. The globally dominant sequence type 239 (ST239) HA-MRSA clone has persisted in the health care setting for decades, but the basis of its success has not been identified. Taking a collection of 123 ST239 isolates spanning 32 years, we have used population-based functional genomics to investigate the evolution of this highly persistent and successful clone. Phylogenetic reconstruction and population modeling uncovered a previously unrecognized distinct clade of ST239 that was introduced into Australia from Asia and has perpetuated the epidemic in this region. Functional analysis demonstrated attenuated virulence and enhanced resistance to last-line antimicrobials, the result of two different phenomena, adaptive evolution within the original Australian ST239 clade and the introduction of a new clade displaying shifts in both phenotypes. The genetic diversity between the clades allowed us to employ genome-wide association testing and identify mutations in other essential regulatory systems, including walKR, that significantly associate with and may explain these key phenotypes. The phenotypic convergence of two independently evolving ST239 clades highlights the very strong selective pressures acting on HA-MRSA, showing that hospital environments have favored the accumulation of mutations in essential MRSA genes that increase resistance to antimicrobials, attenuate virulence, and promote persistence in the health care environment. Combinations of comparative genomics and careful phenotypic measurements of longitudinal collections of clinical isolates are giving us the knowledge to intelligently address the impact of current and future antibiotic usage policies and practices on hospital pathogens globally.IMPORTANCE: Methicillin-resistant Staphylococcus aureus (MRSA) is responsible for innumerable drug-resistant health care-associated infections globally. This study, the first to investigate the evolutionary response of hospital-associated MRSA (HA-MRSA) over many decades, demonstrates how MRSA can persist in a region through the reintroduction of a previously unrecognized distinct clade. This study also demonstrates the crucial adaptive responses of HA-MRSA to the highly selective environment of the health care system, the evolution of MRSA isolates to even higher levels of antibiotic resistance at the cost of attenuated virulence. However, in vivo persistence is maintained, resulting in a clone of HA-MRSA able to resist almost all antimicrobial agents and still cause invasive disease in the heavily compromised hosts found in modern health care settings.",PMC4358018,10.1128/mBio.00080-15,drug resistance;genome;diversity;outbreak;hospital,,Staphylococcus aureus,Y,
First,25732036,2015,eLife,"Guerra-AssunÃ§Ã£o, J A;Crampin, A C;Houben, R M G J;Mzembe, T;Mallard, K;Coll, F;Khan, P;Banda, L;Chiwaya, A;Pereira, R P A;McNerney, R;Fine, P E M;Parkhill, J;Clark, T G;Glynn, J R",Large-scale whole genome sequencing of M. tuberculosis provides insights into transmission in a high prevalence area.,"To improve understanding of the factors influencing tuberculosis transmission and the role of pathogen variation, we sequenced all available specimens from patients diagnosed over 15 years in a whole district in Malawi. Mycobacterium tuberculosis lineages were assigned and transmission networks constructed, allowing â‰_10 single nucleotide polymorphisms (SNPs) difference. We defined disease as due to recent infection if the network-determined source was within 5 years, and assessed transmissibility from forward transmissions resulting in disease. High-quality sequences were available for 1687 disease episodes (72% of all culture-positive episodes): 66% of patients linked to at least one other patient. The between-patient mutation rate was 0.26 SNPs/year (95% CI 0.21-0.31). We showed striking differences by lineage in the proportion of disease due to recent transmission and in transmissibility (highest for lineage-2 and lowest for lineage-1) that were not confounded by immigration, HIV status or drug resistance. Transmissions resulting in disease decreased markedly over time.",PMC4384740,10.7554/eLife.05166,genome;characterization;transmission;drug resistance;phylogeny,,Mycobacterium tuberculosis,Y,
First,25583750,2015,The Journal of antimicrobial chemotherapy,"Willmann, Matthias;Bezdan, Daniela;Zapata, Luis;Susak, Hana;Vogel, Wichard;SchrÃ¶ppel, Klaus;Liese, Jan;Weidenmaier, Christopher;Autenrieth, Ingo B;Ossowski, Stephan;Peter, Silke",Analysis of a long-term outbreak of XDR Pseudomonas aeruginosa: a molecular epidemiological study.,"OBJECTIVES: Here we report on a long-term outbreak from 2009 to 2012 with an XDR Pseudomonas aeruginosa on two wards at a university hospital in southern Germany.METHODS: Whole-genome sequencing was performed on the outbreak isolates and a core genome was constructed for molecular epidemiological analysis. We applied a time-place-sequence algorithm to improve estimation of transmission probabilities.RESULTS: By using conventional infection control methods we identified 49 P. aeruginosa strains, including eight environmental isolates that belonged to ST308 (by MLST) and carried the metallo-Î_-lactamase IMP-8. Phylogenetic analysis on the basis of a non-recombinant core genome that contained 22 outbreak-specific SNPs revealed a pattern of four dominant clades with a strong phylogeographic structure and allowed us to determine the potential temporal origin of the outbreak to July 2008, 1 year before the index case was diagnosed. Superspreaders at the root of clades exhibited a high number of probable and predicted transmissions, indicating their exceptional position in the outbreak.CONCLUSIONS: Our results suggest that the initial expansion of dominant sublineages was driven by a few superspreaders, while environmental contamination seemed to sustain the outbreak for a long period despite regular environmental control measures.",NA,NA,outbreak;control;genome;phylogeny,outbreak;control;genome;phylogeny;drug resistance;hospital,Pseudomona aeruginosa,Y,
First,25502573,2014,"Cancer prevention research (Philadelphia, Pa.)","Busso-Lopes, Ariane F;Marchi, FÃ¡bio A;Kuasne, Hellen;Scapulatempo-Neto, Cristovam;Trindade-Filho, JosÃ© Carlos S;de Jesus, Carlos MÃ¡rcio N;Lopes, Ademar;GuimarÃ£es, Gustavo C;Rogatto, Silvia R",Genomic profiling of human penile carcinoma predicts worse prognosis and survival.,"The molecular mechanisms underlying penile carcinoma are still poorly understood, and the detection of genetic markers would be of great benefit for these patients. In this study, we assessed the genomic profile aiming at identifying potential prognostic biomarkers in penile carcinoma. Globally, 46 penile carcinoma samples were considered to evaluate DNA copy-number alterations via array comparative genomic hybridization (aCGH) combined with human papillomavirus (HPV) genotyping. Specific genes were investigated by using qPCR, FISH, and RT-qPCR. Genomic alterations mapped at 3p and 8p were related to worse prognostic features, including advanced T and clinical stage, recurrence and death from the disease. Losses of 3p21.1-p14.3 and gains of 3q25.31-q29 were associated with reduced cancer-specific and disease-free survival. Genomic alterations detected for chromosome 3 (LAMP3, PPARG, TNFSF10 genes) and 8 (DLC1) were evaluated by qPCR. DLC1 and PPARG losses were associated with poor prognosis characteristics. Losses of DLC1 were an independent risk factor for recurrence on multivariate analysis. The gene-expression analysis showed downexpression of DLC1 and PPARG and overexpression of LAMP3 and TNFSF10 genes. Chromosome Y losses and MYC gene (8q24) gains were confirmed by FISH. HPV infection was detected in 34.8% of the samples, and 19 differential genomic regions were obtained related to viral status. At first time, we described recurrent copy-number alterations and its potential prognostic value in penile carcinomas. We also showed a specific genomic profile according to HPV infection, supporting the hypothesis that penile tumors present distinct etiologies according to virus status.",NA,NA,genotype,,Human Papillomavirus,N,human carcinoma
First,25500299,2014,Enfermedades infecciosas y microbiologia clinica,"Bolado-MartÃ_nez, Enrique;Candia-Plata, Maria Del Carmen;Zenteno-Cuevas, Roberto;Mendoza DamiÃ¡n, Fabiola;AvilÃ©s-Acosta, Magali",[Proposal of a five MIRU-VNTR panel to screen clinical isolates of Mycobacterium tuberculosis in Mexico].,"INTRODUCTION: Tuberculosis is a public health problem across Mexico. This paper aims to select a panel, with a minimum number of repetitive elements (MIRU-VNTR) for genotypic characterization of Mycobacterium tuberculosis (M. tuberculosis) clinical isolates.METHOD: In this study, a full panel of 24 MIRU-VNTR loci was used to discriminate 65 clinical isolates of M. tuberculosis from three different geographical regions of Mexico. Those loci with the highest discriminatory power were subsequently selected.RESULTS: The panel, including five loci, was obtained by selecting the highest values of allelic diversity among the genotypes obtained. The dendrogram, generated by the panel MIRU-VNTR 5, showed a high discriminatory power with 65 unique genotype profiles and formed clusters according to the geographical region of origin.CONCLUSIONS: The panel MIRU-VNTR 5 can be useful for characterizing clinical isolates of M. tuberculosis in Mexico.",NA,NA,genotype;outbreak;hospital,,Mycobacterium tuberculosis,N,article not accesible from UBC
First,25413141,2014,Transfusion,"PessÃ´a, Rodrigo;Watanabe, Jaqueline Tomoko;Calabria, Paula;Alencar, Cecilia Salete;Loureiro, Paula;Lopes, Maria Esther;Proetti, Anna Barbara;FÃ©lix, Alvina Clara;Sabino, Ester C;Busch, Michael P;Sanabani, Sabri S",Enhanced detection of viral diversity using partial and near full-length genomes of human immunodeficiency virus Type 1 provirus deep sequencing data from recently infected donors at four blood centers in Brazil.,"BACKGROUND: Here, we report application of high-throughput near full-length genome (NFLG) and partial human immunodeficiency virus Type 1 (HIV-1) proviral genome deep sequencing to characterize HIV in recently infected blood donors at four major blood centers in Brazil.STUDY DESIGN AND METHODS: From 2007 to 2011, a total of 341 HIV+ blood donors from four blood centers were recruited to participate in a case-control study to identify HIV risk factors and motivations to donate. Forty-seven (17 from SÃ£o Paulo, eight from Minas Gerais, 11 from Pernambuco, and 11 from Rio de Janeiro) were classified as recently infected based on testing by less-sensitive enzyme immunoassays. Five overlapping amplicons spanning the HIV genome were polymerase chain reaction amplified from peripheral blood mononuclear cells. The amplicons were molecularly barcoded, pooled, and sequenced by a paired-end protocol (Illumina).RESULTS: Of the 47 recently infected donor samples studied, 39 (82.9%) NFLGs and six (12.7%) partial fragments were de novo assembled into contiguous sequences and successfully subtyped. Subtype B was the only nonrecombinant virus identified in this study and accounted for 62.2% (28/45) of samples. The remaining 37.8% (17/45) of samples showed various patterns of subtype discordance in different regions of HIV-1 genomes, indicating two to four circulating recombinant subtypes derived from Clades B, F, and C. Fourteen samples (31.1%) from this study harbored drug resistance mutations, indicating higher rate of drug resistance among Brazilian blood donors.CONCLUSION: Our findings revealed a high proportion of HIV-1 recombinants among recently infected blood donors in Brazil, which has implications for future blood screening, diagnosis, therapy, and vaccine development.",PMC4428985,10.1111/trf.12936,characterization;genome;drug resistance;mBio;surveillance,characterization;genome;mBio;surveillance;geography,Human Immunodeficy Virus,Y,
First,25389259,2014,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,"Ladhani, Shamez N;Beebeejaun, Kazim;Lucidarme, Jay;Campbell, Helen;Gray, Steve;Kaczmarski, Ed;Ramsay, Mary E;Borrow, Ray",Increase in endemic Neisseria meningitidis capsular group W sequence type 11 complex associated with severe invasive disease in England and Wales.,"BACKGROUND: In England and Wales, the incidence of invasive meningococcal disease has been declining for more than a decade, but meningococcal group W (MenW) cases have been increasing since 2009.METHODS: Public Health England conducts enhanced national surveillance of invasive meningococcal disease in England and Wales. Detailed clinical information was obtained for all laboratory-confirmed MenW cases diagnosed during 3 epidemiologic years (2010-2011 to 2012-2013), alongside whole-genome sequencing analysis of the clinical isolates.RESULTS: The year-on-year increase in invasive MenW disease across all age groups since 2009-2010 was due to rapid endemic expansion of a single clone belonging to the sequence type 11 complex (cc11). In 2013-2014, MenW was responsible for 15% of all invasive meningococcal disease. All but 1 of the recent MenW:cc11 isolates were very closely related, consistent with recent clonal expansion. Clinical follow-up of all 129 MenW cases diagnosed during 2010-2011 to 2012-2013 revealed that most patients were previously healthy (n = 105 [81%]), had not travelled abroad prior to illness and the majority presented with septicemia (n = 63 [49%]), meningitis (n = 16 [12%]) or both (n = 21 [16%]); however, one-quarter had atypical presentations including pneumonia (n = 15 [12%]), septic arthritis (n = 9 [7%]), and epiglottitis/supraglottitis (n = 5 [4%]). Forty-eight (37%) required intensive care and 15 (12%) died. There was no association between infecting strain, clinical disease, or outcome.CONCLUSIONS: The recent increase in invasive MenW disease in England and Wales is due to rapid endemic expansion of a single clone belonging to cc11 and is associated with severe disease with unusual clinical presentations. This increase will require careful monitoring in the coming years.",NA,NA,outbreak;hospital;genome,,Neisseria meningitidis,Y,
First,25362193,2014,The Journal of infectious diseases,"Stucki, David;Ballif, Marie;Bodmer, Thomas;Coscolla, Mireia;Maurer, Anne-Marie;Droz, Sara;Butz, Christa;Borrell, Sonia;LÃ_ngle, Christel;Feldmann, Julia;Furrer, Hansjakob;Mordasini, Carlo;Helbling, Peter;Rieder, Hans L;Egger, Matthias;Gagneux, SÃ©bastien;Fenner, Lukas",Tracking a tuberculosis outbreak over 21 years: strain-specific single-nucleotide polymorphism typing combined with targeted whole-genome sequencing.,"BACKGROUND: Whole-genome sequencing (WGS) is increasingly used in molecular-epidemiological investigations of bacterial pathogens, despite cost- and time-intensive analyses. We combined strain-specific single-nucleotide polymorphism (SNP) typing and targeted WGS to investigate a tuberculosis cluster spanning 21 years in Bern, Switzerland.METHODS: On the basis of genome sequences of 3 historical outbreak Mycobacterium tuberculosis isolates, we developed a strain-specific SNP-typing assay to identify further cases. We screened 1642 patient isolates and performed WGS on all identified cluster isolates. We extracted SNPs to construct genomic networks. Clinical and social data were retrospectively collected.RESULTS: We identified 68 patients associated with the outbreak strain. Most received a tuberculosis diagnosis in 1991-1995, but cases were observed until 2011. Two thirds were homeless and/or substance abusers. Targeted WGS revealed 133 variable SNP positions among outbreak isolates. Genomic network analyses suggested a single origin of the outbreak, with subsequent division into 3 subclusters. Isolates from patients with confirmed epidemiological links differed by 0-11 SNPs.CONCLUSIONS: Strain-specific SNP genotyping allowed rapid and inexpensive identification of M. tuberculosis outbreak isolates in a population-based strain collection. Subsequent targeted WGS provided detailed insights into transmission dynamics. This combined approach could be applied to track bacterial pathogens in real time and at high resolution.",PMC4447836,10.1093/infdis/jiu601,outbreak;transmission;cluster;genome,,Mycobacterium tuberculosis,Y,
First,25343711,2014,"Microbial drug resistance (Larchmont, N.Y.)","Kulkova, Nada;Babalova, Marta;Sokolova, Jaroslava;Krcmery, Vladimir",First report of New Delhi metallo-Î_-lactamase-1-producing strains in Slovakia.,"Occurrence of carbapenemase-producing organisms, including New Delhi metallo-Î_-lactamase-1 (NDM-1) is increasingly reported worldwide. The aim of this study was to assess the distribution of carbapenemase producers among multidrug-resistant Gram-negative bacteria isolated from blood cultures. All carbapenem-resistant strains collected from December 2011 to December 2012 were analyzed. Presence of carbapenemases was assessed with combined disc test and Carba NP test followed by polymerase chain reaction for carbapenemase genes. Altogether, 30 strains were detected, of which 7 were positive for VIM (23.3%), 6 for NDM-1 (20%), 5 for IMP (16.7%), and KPC was present in one isolate (3.3%). Four Pseudomonas aeruginosa strains were found to produce more than one carbapenemase. We also present the case report of a patient with Acinetobacter baumannii ventilator-associated pneumonia, followed by sepsis due to Enterococcus faecalis and pan-resistant NDM-1-producing P. aeruginosa. Despite the inappropriate therapy, the patient was successfully treated. This is the first report of NDM-1-producing strains in Slovakia and it contributes to a number of studies mapping the distribution of carbapenemase producers in Europe.",NA,NA,drug resistance;mBio;characterization,,Pseudomona aeruginosa;Acinetobacter baumannii ,N,article not accesible from UBC
First,25314581,2014,Pediatric research,"Sanz, Yolanda;Olivares, Marta;Moya-PÃ©rez, NA;Agostoni, Carlo",Understanding the role of gut microbiome in metabolic disease risk.,"The gut microbiota structure, dynamics, and function result from interactions with environmental and host factors, which jointly influence the communication between the gut and peripheral tissues, thereby contributing to health programming and disease risk. Incidence of both type-1 and type-2 diabetes has increased during the past decades, suggesting that there have been changes in the interactions between predisposing genetic and environmental factors. Animal studies show that gut microbiota and its genome (microbiome) influence alterations in energy balance (increased energy harvest) and immunity (inflammation and autoimmunity), leading to metabolic dysfunction (e.g., insulin resistance and deficiency). Thus, although they have different origins, both disorders are linked by the association of the gut microbiota with the immune-metabolic axis. Human studies have also revealed shifts in microbiome signatures in diseased subjects as compared with controls, and a few of them precede the development of these disorders. These studies contribute to pinpointing specific microbiome components and functions (e.g., butyrate-producing bacteria) that can protect against both disorders. These could exert protective roles by strengthening gut barrier function and regulating inflammation, as alterations in these are a pathophysiological feature of both disorders, constituting common targets for future preventive approaches.",NA,NA,clinical;genome;diversity;drug resistance,,Microbiota,N,"Review, figures main illustrations not data"
