"","bigram","n","freq"
"236","plasmid_mediat",1,0.03125
"237","pneumonia_isol",1,0.03125
"238","pneumonia_strain",1,0.03125
"239","polymeras_chain",8,0.25
"240","polymorph_rflp",1,0.03125
"241","polymorph_snp",1,0.03125
"242","popul_structur",1,0.03125
"243","porcin_circoviru",1,0.03125
"244","porcin_epidem",1,0.03125
"245","porcin_reproduct",1,0.03125
"246","posit_sampl",1,0.03125
"247","produc_escherichia",1,0.03125
"248","produc_klebsiella",1,0.03125
"249","promot_bcp",1,0.03125
"250","prostat_cancer",1,0.03125
"251","pseudomona_aeruginosa",1,0.03125
"252","public_health",2,0.0625
"253","puls_field",8,0.25
"254","rapid_detect",1,0.03125
"255","reaction_pcr",2,0.0625
"256","read_frame",1,0.03125
"257","real_time",2,0.0625
"258","reassort_event",1,0.03125
"259","recombin_form",1,0.03125
"260","repeat_analysi",1,0.03125
"261","repeat_vntr",2,0.0625
"262","repetit_unit",1,0.03125
"263","resist_acinetobact",1,0.03125
"264","resist_determin",3,0.09375
"265","resist_enterococci",1,0.03125
"266","resist_enterococcu",1,0.03125
"267","resist_gene",5,0.15625
"268","resist_isol",1,0.03125
"269","resist_klebsiella",1,0.03125
"270","resist_mdr",1,0.03125
"271","resist_salmonella",1,0.03125
"272","resist_staphylococcu",1,0.03125
"273","respiratori_infect",1,0.03125
"274","respiratori_syncyti",1,0.03125
"275","respiratori_syndrom",2,0.0625
"276","respiratori_tract",1,0.03125
"277","restrict_fragment",1,0.03125
"278","revers_transcript",4,0.125
"279","risk_factor",4,0.125
"280","risk_hpv",1,0.03125
"281","risk_human",1,0.03125
"282","rotaviru_infect",1,0.03125
"283","rotaviru_strain",1,0.03125
"284","rotaviru_vaccin",1,0.03125
"285","rva_strain",1,0.03125
"286","salmonella_enterica",1,0.03125
"287","salmonella_genom",1,0.03125
"288","salmonella_isol",1,0.03125
"289","salmonella_serovar",1,0.03125
"290","salmonella_strain",1,0.03125
"291","salmonella_typhimurium",1,0.03125
"292","sar_coronaviru",1,0.03125
"293","sar_cov",1,0.03125
"294","sar_epidem",1,0.03125
"295","sar_outbreak",1,0.03125
"296","sccmec_type",1,0.03125
"297","sequenc_analysi",5,0.15625
"298","sequenc_type",8,0.25
"299","serovar_enteritidi",1,0.03125
"300","serovar_typhimurium",1,0.03125
"301","serum_sampl",2,0.0625
"302","seventh_pandem",1,0.03125
"303","sever_acut",1,0.03125
"304","shiga_toxin",1,0.03125
"305","signific_associ",1,0.03125
"306","singl_nucleotid",4,0.125
"307","spa_type",1,0.03125
"308","spectrum_beta",1,0.03125
"309","squamou_cell",1,0.03125
"310","staphylococc_cassett",1,0.03125
"311","staphylococcu_aureu",1,0.03125
"312","statist_signific",1,0.03125
"313","stool_sampl",3,0.09375
"314","strain_circul",1,0.03125
"315","strain_detect",1,0.03125
"316","strain_isol",7,0.21875
"317","studi_design",1,0.03125
"318","studi_gwa",1,0.03125
"319","subsp_enterica",1,0.03125
"320","surfac_antigen",1,0.03125
"321","syncyti_viru",1,0.03125
"322","syndrom_coronaviru",1,0.03125
"323","syndrom_sar",1,0.03125
"324","syndrom_viru",1,0.03125
"325","tandem_repeat",2,0.0625
"326","time_pcr",1,0.03125
"327","time_revers",1,0.03125
"328","tor_biotyp",1,0.03125
"329","tor_strain",1,0.03125
"330","toxin_produc",1,0.03125
"331","tract_infect",1,0.03125
"332","transcript_polymeras",1,0.03125
"333","tuberculosi_complex",1,0.03125
"334","tuberculosi_isol",1,0.03125
"335","tuberculosi_strain",1,0.03125
"336","type_method",1,0.03125
"337","type_mlst",2,0.0625
"338","typhimurium_isol",1,0.03125
"339","uniqu_recombin",1,0.03125
"340","unit_variabl",1,0.03125
"341","urem_syndrom",1,0.03125
"342","vaccin_candid",1,0.03125
"343","vaccin_develop",1,0.03125
"344","vaccin_strain",1,0.03125
"345","valentin_leukocidin",1,0.03125
"346","vancomycin_resist",1,0.03125
"347","vibrio_cholera",1,0.03125
"348","viral_gastroenter",1,0.03125
"349","viral_genom",5,0.15625
"350","viral_hepat",1,0.03125
"351","viral_load",2,0.0625
"352","viru_denv",1,0.03125
"353","viru_genotyp",2,0.0625
"354","viru_hav",1,0.03125
"355","viru_hbv",1,0.03125
"356","viru_hcv",1,0.03125
"357","viru_hev",1,0.03125
"358","viru_infect",3,0.09375
"359","viru_isol",4,0.125
"360","viru_pedv",1,0.03125
"361","viru_prrsv",1,0.03125
"362","viru_serotyp",1,0.03125
"363","viru_type",2,0.0625
"364","virul_factor",1,0.03125
"365","virul_gene",2,0.0625
"366","virus_isol",1,0.03125
"367","vntr_analysi",1,0.03125
"368","vntr_loci",1,0.03125
"369","vntr_type",1,0.03125
"370","wide_associ",2,0.0625
"371","wide_signific",1,0.03125
"372","wild_type",2,0.0625
