bigram,n,word1,word2,why,notes
antiretrovir_treatment,1,antiretrovir,treatment,clinical;treatment,
antivir_drug,1,antivir,drug,clinical;treatment,
antivir_resist,1,antivir,resist,drug resistance,
antivir_therapi,2,antivir,therapi,clinical;treatment,
aquat_bird,1,aquat,bird,ignore,"could be cancer, or bugs"
aquat_environ,2,aquat,environ,ignore,
arginin_catabol,1,arginin,catabol,drug resistance;mBio,
arthropod_born,1,arthropod,born,vector,
asian_ca,1,asian,ca,ignore,
asian_countri,2,asian,countri,ignore,
assai_hma,1,assai,hma,characterization,"method, don't care to much"
associ_studi,3,associ,studi,ignore,
asymptomat_carrier,1,asymptomat,carrier,ignore,
attenu_influenza,1,attenu,influenza,vaccine,
attenu_vaccin,1,attenu,vaccin,vaccine,
aureu_clinic,1,aureu,clinic,outbreak;hospital,"not sure, rethink"
aureu_clone,1,aureu,clone,ignore,too specific demograhic
aureu_genom,1,aureu,genom,genome,
aureu_infect,1,aureu,infect,ignore,
aureu_isol,1,aureu,isol,ignore,
aureu_mrsa,1,aureu,mrsa,drug resistance,
aureu_mssa,1,aureu,mssa,drug resistance,
aureu_strain,1,aureu,strain,ignore,
autoimmun_diseas,1,autoimmun,diseas,ignore,probably vaccine methods
avian_host,1,avian,host,vector,"pathogen, not useful"
avian_human,1,avian,human,ignore,
avian_influenza,1,avian,influenza,ignore,virbio genomic island
avian_origin,1,avian,origin,vector,
avian_pathogen,1,avian,pathogen,vector,too broad
avian_speci,1,avian,speci,ignore,
avian_virus,1,avian,virus,ignore,
bacillu_anthraci,1,bacillu,anthraci,ignore,ampillicon related
background_dengu,1,background,dengu,ignore,"cancer, too specific"
background_hepat,2,background,hepat,ignore,too broad
background_hiv,1,background,hiv,ignore,
background_staphylococcu,1,background,staphylococcu,ignore,
background_tuberculosi,1,background,tuberculosi,ignore,
bacteri_commun,1,bacteri,commun,genome;diversity,"immune response, not sure how to consider this"
bacteri_genom,4,bacteri,genom,genome,
bacteri_isol,1,bacteri,isol,ignore,
bacteri_pathogen,7,bacteri,pathogen,ignore,
bacteri_popul,2,bacteri,popul,genome;diversity,
bacteri_speci,2,bacteri,speci,ignore,
band_pattern,1,band,pattern,ignore,
barr_viru,1,barr,viru,ignore,
basal_core,1,basal,core,ignore,
base_method,1,base,method,ignore,
base_molecular,1,base,molecular,ignore,could be drug resistance
base_replicon,2,base,replicon,ignore,pathogen
base_restrict,1,base,restrict,ignore,
base_studi,2,base,studi,ignore,
base_type,3,base,type,characterization,
base_vaccin,2,base,vaccin,ignore,
basic_amino,1,basic,amino,ignore,
basic_core,1,basic,core,ignore,
bat_coronaviru,2,bat,coronaviru,ignore,
bat_coronavirus,1,bat,coronavirus,ignore,
baumannii_clinic,1,baumannii,clinic,outbreak;hospital,"not sure, rethink"
baumannii_infect,1,baumannii,infect,ignore,
baumannii_isol,1,baumannii,isol,ignore,
baumannii_strain,1,baumannii,strain,characterization,
bcg_vaccin,1,bcg,vaccin,vaccine,
bcp_mutat,1,bcp,mutat,ignore,
bcp_region,1,bcp,region,ignore,
beij_famili,1,beij,famili,ignore,
beij_genotyp,2,beij,genotyp,genotype,
beij_isol,1,beij,isol,ignore,
beij_lineag,1,beij,lineag,characterization,
beij_strain,2,beij,strain,characterization,
beta_lactam,4,beta,lactam,drug resistance,
beta_lactamas,5,beta,lactamas,drug resistance,pathogen
bind_protein,1,bind,protein,ignore,
bind_site,3,bind,site,ignore,
biofilm_format,3,biofilm,format,ignore,
biolog_properti,1,biolog,properti,ignore,pathogen
biotyp_strain,1,biotyp,strain,ignore,
bird_market,1,bird,market,ignore,vaccine?
bla_cmy,1,bla,cmy,drug resistance;mBio,"not sure, rethink"
bla_ctx,2,bla,ctx,drug resistance;mBio,too general
bla_imp,2,bla,imp,drug resistance;mBio,
bla_kpc,2,bla,kpc,drug resistance;mBio,too broad
bla_oxa,4,bla,oxa,drug resistance;mBio,
bla_shv,2,bla,shv,drug resistance;mBio,pathogen
bla_tem,2,bla,tem,drug resistance;mBio,
bla_vim,3,bla,vim,drug resistance;mBio,
blood_donor,6,blood,donor,ignore,
blood_mononuclear,1,blood,mononuclear,ignore,
blood_sampl,2,blood,sampl,ignore,
blood_transfus,2,blood,transfus,ignore,
bloodi_diarrhoea,1,bloodi,diarrhoea,ignore,"cancer, too specific"
bloodstream_infect,1,bloodstream,infect,ignore,
bodi_mass,1,bodi,mass,ignore,too broad
born_outbreak,1,born,outbreak,outbreak,
born_pathogen,3,born,pathogen,ignore,
born_patient,1,born,patient,ignore,too broad
born_viral,1,born,viral,ignore,
bovi_bcg,1,bovi,bcg,ignore,
bovi_isol,1,bovi,isol,ignore,
bovi_strain,1,bovi,strain,characterization,
bovin_tuberculosi,1,bovin,tuberculosi,ignore,
bowel_diseas,1,bowel,diseas,ignore,probably vaccine methods
broad_spectrum,3,broad,spectrum,drug resistance,
burden_countri,1,burden,countri,ignore,
campylobact_coli,1,campylobact,coli,ignore,"immune response, not sure how to consider this"
campylobact_jejuni,1,campylobact,jejuni,ignore,
cancer_patient,2,cancer,patient,ignore,too broad
cancer_risk,1,cancer,risk,ignore,
candid_vaccin,1,candid,vaccin,vaccine,
canin_kidnei,1,canin,kidnei,ignore,
capit_citi,1,capit,citi,ignore,"disease, too broad"
capsid_protein,1,capsid,protein,ignore,microbiomeƒ
carbapenem_resist,4,carbapenem,resist,drug resistance,
carbapenemas_gene,4,carbapenemas,gene,drug resistance;mBio,
carbapenemas_kpc,1,carbapenemas,kpc,drug resistance;mBio,too broad
carbapenemas_produc,3,carbapenemas,produc,ignore,
carcinoma_hcc,3,carcinoma,hcc,ignore,
cardiovascular_diseas,1,cardiovascular,diseas,ignore,probably vaccine methods
care_hospit,3,care,hospit,ignore,
care_unit,7,care,unit,outbreak;hospital,
carri_bla,3,carri,bla,drug resistance;mBio,
carri_plasmid,2,carri,plasmid,drug resistance;mBio,
cassett_arrai,2,cassett,arrai,drug resistance;mBio,
cassett_chromosom,1,cassett,chromosom,drug resistance;mBio,too broad
cassett_mec,1,cassett,mec,drug resistance;mBio,
catabol_mobil,1,catabol,mobil,drug resistance;mBio,disease (MERS)
caus_agent,13,caus,agent,ignore,phrasing
caus_outbreak,1,caus,outbreak,outbreak,
cell_carcinoma,1,cell,carcinoma,cancer,
cell_count,1,cell,count,ignore,
cell_cultur,6,cell,cultur,ignore,too specific
cell_line,2,cell,line,ignore,immunity
cell_pbmc,1,cell,pbmc,ignore,
cell_respons,2,cell,respons,ignore,
central_africa,1,central,africa,ignore,
central_african,1,central,african,ignore,
central_asian,1,central,asian,ignore,
cephalosporin_resist,2,cephalosporin,resist,drug resistance,
cerebrospin_fluid,2,cerebrospin,fluid,ignore,
cervic_cancer,1,cervic,cancer,ignore,
cervic_carcinoma,1,cervic,carcinoma,ignore,
cervic_intraepitheli,1,cervic,intraepitheli,ignore,
cervic_lesion,1,cervic,lesion,ignore,
cervic_neoplasia,1,cervic,neoplasia,ignore,
chain_fatti,1,chain,fatti,ignore,
chain_reaction,26,chain,reaction,ignore,method
character_hiv,1,character,hiv,ignore,phrasing
chb_patient,1,chb,patient,ignore,too broad
chemokin_receptor,1,chemokin,receptor,ignore,disease
chicken_duck,1,chicken,duck,ignore,
chicken_egg,1,chicken,egg,ignore,too broad
chicken_embryo,1,chicken,embryo,ignore,
children_worldwid,1,children,worldwid,ignore,
chines_popul,1,chines,popul,ignore,pathogen
chlamydia_trachomati,1,chlamydia,trachomati,ignore,
cholera_caus,1,cholera,caus,ignore,
cholera_cholera,1,cholera,cholera,ignore,too broad
cholera_epidem,1,cholera,epidem,ignore,
cholera_genom,1,cholera,genom,genome,
cholera_isol,1,cholera,isol,ignore,
cholera_outbreak,1,cholera,outbreak,outbreak,
cholera_pandem,1,cholera,pandem,outbreak,have more specific drug resistance cassets
cholera_patient,1,cholera,patient,ignore,too broad
cholera_popul,1,cholera,popul,ignore,pathogen
cholera_serogroup,1,cholera,serogroup,clinical;diagnosis,
cholera_strain,1,cholera,strain,characterization,
cholera_toxin,1,cholera,toxin,mBio,
cholera_vibrio,1,cholera,vibrio,ignore,
chromosom_cassett,1,chromosom,cassett,ignore,maybe not?
chromosom_mec,1,chromosom,mec,drug resistance;mBio,too broad
chromosom_scc,1,chromosom,scc,ignore,
chronic_carrier,1,chronic,carrier,outbreak;transmission,
chronic_hbv,1,chronic,hbv,ignore,"pathogen, not useful"
chronic_hcv,1,chronic,hcv,ignore,
chronic_hepat,4,chronic,hepat,ignore,
chronic_infect,5,chronic,infect,ignore,
chronic_liver,2,chronic,liver,ignore,
circul_hiv,1,circul,hiv,ignore,phrasing
circul_influenza,1,circul,influenza,surveillance,
circul_recombin,1,circul,recombin,surveillance,disease
circul_strain,3,circul,strain,surveillance,
circul_virus,1,circul,virus,surveillance,
circul_worldwid,1,circul,worldwid,surveillance,
citrobact_freundii,2,citrobact,freundii,ignore,
classic_biotyp,1,classic,biotyp,ignore,
classic_ctxb,1,classic,ctxb,characterization,probably sources
classic_swine,1,classic,swine,ignore,"phrasing, but interesting phrasing"
clavulan_acid,2,clavulan,acid,drug resistance,
cleavag_site,1,cleavag,site,ignore,
clinic_isol,17,clinic,isol,ignore,too broad
clinic_mrsa,1,clinic,mrsa,drug resistance,
clinic_outcom,6,clinic,outcom,clinical;outcome,
clinic_sampl,4,clinic,sampl,ignore,
clinic_sign,1,clinic,sign,ignore,pathogen
clinic_specimen,3,clinic,specimen,ignore,
clinic_strain,6,clinic,strain,characterization,
clonal_complex,11,clonal,complex,phylogeny;mBio,
clonal_lineag,4,clonal,lineag,characterization,
clonal_popul,2,clonal,popul,genome;diversity,pathogen
clonal_relat,3,clonal,relat,ignore,
clonal_relationship,1,clonal,relationship,ignore,"probably not outbreak, but cluster is interesting term"
clonal_spread,3,clonal,spread,genome;diversity,
close_relat,27,close,relat,ignore,phrasing
clostridium_difficil,2,clostridium,difficil,ignore,
cluster_analysi,1,cluster,analysi,outbreak,
cluster_isol,1,cluster,isol,outbreak,
cluster_rate,1,cluster,rate,outbreak,
cluster_regularli,1,cluster,regularli,ignore,
coagulas_neg,1,coagulas,neg,ignore,
code_region,5,code,region,ignore,
codon_mutat,1,codon,mutat,ignore,
codon_usag,1,codon,usag,ignore,
cohort_studi,2,cohort,studi,ignore,
coli_apec,1,coli,apec,ignore,
coli_eaec,1,coli,eaec,ignore,
coli_ehec,1,coli,ehec,ignore,
coli_epec,1,coli,epec,ignore,
coli_etec,1,coli,etec,ignore,
coli_expec,1,coli,expec,ignore,
coli_genom,1,coli,genom,genome,
coli_infect,1,coli,infect,ignore,
coli_isol,2,coli,isol,ignore,not too sure
coli_popul,1,coli,popul,ignore,pathogen
coli_sequenc,1,coli,sequenc,genome,
coli_serotyp,1,coli,serotyp,clinical;diagnosis,
coli_stec,1,coli,stec,ignore,
coli_strain,2,coli,strain,characterization,
coli_upec,1,coli,upec,ignore,
combin_therapi,1,combin,therapi,clinical;treatment,have more specific terms for strain
commerci_poultri,1,commerci,poultri,ignore,"too broad, phrasing"
common_ancestor,4,common,ancestor,phylogeny,
common_sourc,1,common,sourc,ignore,
commun_acquir,3,commun,acquir,outbreak;community,
compar_analysi,2,compar,analysi,ignore,
compar_genom,11,compar,genom,genome,
complet_genom,24,complet,genom,genome,
complet_hbv,1,complet,hbv,ignore,
complet_nucleotid,1,complet,nucleotid,ignore,
complet_protect,1,complet,protect,ignore,pathogen
complet_sequenc,3,complet,sequenc,ignore,
complex_isol,1,complex,isol,ignore,
complex_mhc,2,complex,mhc,ignore,
complex_mtbc,1,complex,mtbc,ignore,
complex_strain,1,complex,strain,ignore,
composit_transposon,3,composit,transposon,ignore,
concentr_mic,2,concentr,mic,ignore,
conclus_hbv,1,conclus,hbv,ignore,
conclus_hcv,1,conclus,hcv,ignore,
confer_resist,4,confer,resist,drug resistance,
confid_interv,7,confid,interv,ignore,
congo_drc,1,congo,drc,ignore,
conjug_element,1,conjug,element,ignore,
conjug_plasmid,2,conjug,plasmid,ignore,
conjug_vaccin,1,conjug,vaccin,ignore,
consensu_primer,1,consensu,primer,ignore,
consensu_sequenc,1,consensu,sequenc,genome,
contact_investig,1,contact,investig,outbreak;control,dblCheck
contact_trace,1,contact,trace,outbreak;control,
continu_monitor,1,continu,monitor,surveillance,could be drug resistance
continu_surveil,1,continu,surveil,surveillance,
control_measur,2,control,measur,ignore,
control_program,2,control,program,ignore,
control_region,1,control,region,ignore,
control_studi,2,control,studi,ignore,
core_antigen,1,core,antigen,ignore,
core_gene,2,core,gene,genome,
core_genom,9,core,genom,genome,
core_promot,1,core,promot,ignore,pathogen
core_region,2,core,region,ignore,
coregul_pilu,1,coregul,pilu,ignore,too broad
coronaviru_cov,1,coronaviru,cov,ignore,more interesting in genotype
coronaviru_genom,1,coronaviru,genom,genome,
coronaviru_infect,2,coronaviru,infect,ignore,too broad
coronaviru_mer,2,coronaviru,mer,ignore,
coronaviru_sar,2,coronaviru,sar,ignore,
coronavirus_cov,2,coronavirus,cov,ignore,
cosmopolitan_genotyp,1,cosmopolitan,genotyp,genotype,
cov_genom,2,cov,genom,genome,
cov_infect,2,cov,infect,ignore,
cov_isol,2,cov,isol,ignore,
cov_rna,2,cov,rna,ignore,
cov_sequenc,2,cov,sequenc,ignore,
cov_strain,2,cov,strain,ignore,
crohn'_diseas,1,crohn',diseas,ignore,to general
cross_contamin,1,cross,contamin,ignore,
cross_protect,1,cross,protect,ignore,pathogen
cross_reactiv,1,cross,reactiv,ignore,disease
cross_section,3,cross,section,ignore,
cross_speci,2,cross,speci,ignore,
ctx_phage,1,ctx,phage,ignore,
ctx_prophag,1,ctx,prophag,ignore,pathogen
ctxb_gene,1,ctxb,gene,ignore,
culex_pipien,1,culex,pipien,ignore,
cultur_confirm,1,cultur,confirm,ignore,"not sure, rethink"
cultur_posit,1,cultur,posit,ignore,pathogen
current_hiv,1,current,hiv,ignore,phrasing
cystic_fibrosi,1,cystic,fibrosi,ignore,
darbi_canin,1,darbi,canin,ignore,
data_suggest,9,data,suggest,ignore,phrasing
deep_sequenc,2,deep,sequenc,ignore,flu specific
defin_cluster,1,defin,cluster,ignore,phrasing
delet_mutant,1,delet,mutant,ignore,
democrat_republ,1,democrat,republ,ignore,pathogen
dengu_diseas,1,dengu,diseas,ignore,
dengu_epidem,1,dengu,epidem,ignore,method
dengu_fever,1,dengu,fever,ignore,"pathogen, not useful"
dengu_haemorrhag,1,dengu,haemorrhag,ignore,
dengu_hemorrhag,1,dengu,hemorrhag,ignore,
dengu_infect,1,dengu,infect,ignore,
dengu_outbreak,1,dengu,outbreak,outbreak,"drug resistance, but pretty broad, have better terms"
dengu_type,1,dengu,type,characterization,
dengu_viru,1,dengu,viru,ignore,
dengu_virus,1,dengu,virus,ignore,
denv_genom,1,denv,genom,genome,"probably genome, but could be an acutak skabd"
denv_infect,1,denv,infect,ignore,
denv_serotyp,1,denv,serotyp,clinical;diagnosis,
depend_rna,1,depend,rna,ignore,
detect_hbv,1,detect,hbv,ignore,
detect_hpv,1,detect,hpv,ignore,
develop_countri,5,develop,countri,ignore,mostly about liver disease
diabet_mellitu,1,diabet,mellitu,ignore,
diagnost_test,1,diagnost,test,clinical;diagnosis,
diarrheal_diseas,1,diarrheal,diseas,ignore,"pathogen, not useful"
differenti_express,1,differenti,express,ignore,"pathogen, not useful"
differenti_regul,1,differenti,regul,ignore,
difficil_infect,2,difficil,infect,ignore,
difficil_isol,1,difficil,isol,ignore,
digest_genom,2,digest,genom,ignore,likely phrasing
direct_act,1,direct,act,ignore,
direct_repeat,1,direct,repeat,ignore,
direct_sequenc,2,direct,sequenc,ignore,flu specific
directli_sequenc,1,directli,sequenc,ignore,
discriminatori_index,1,discriminatori,index,ignore,just TB
discriminatori_power,6,discriminatori,power,ignore,"too broad, phrasing"
diseas_caus,5,diseas,caus,ignore,
diseas_cholera,1,diseas,cholera,ignore,too broad
diseas_control,1,diseas,control,control,
diseas_includ,1,diseas,includ,ignore,
diseas_outbreak,8,diseas,outbreak,outbreak,
diseas_outcom,1,diseas,outcom,ignore,
diseas_progress,3,diseas,progress,ignore,pathogen
diseas_sever,1,diseas,sever,ignore,pathogen
diseas_surveil,1,diseas,surveil,surveillance,
disk_diffus,1,disk,diffus,ignore,method
distantli_relat,1,distantli,relat,ignore,
distinct_geograph,1,distinct,geograph,geography,
distinct_lineag,1,distinct,lineag,characterization,pathogen
divers_hiv,1,divers,hiv,genome;diversity,maybe reservoir? Probably not.
dna_extract,2,dna,extract,ignore,
dna_fingerprint,2,dna,fingerprint,genotype,
dna_level,1,dna,level,ignore,too broad
dna_microarrai,3,dna,microarrai,ignore,
dna_posit,2,dna,posit,ignore,pathogen
dna_rapd,1,dna,rapd,ignore,
dna_sequenc,15,dna,sequenc,ignore,have other better ters
domest_bird,1,domest,bird,ignore,
domest_duck,1,domest,duck,ignore,
domest_poultri,1,domest,poultri,ignore,"too broad, phrasing"
doubl_mutat,1,doubl,mutat,ignore,
draft_genom,6,draft,genom,genome,
drug_resist,12,drug,resist,drug resistance,
drug_sensit,1,drug,sensit,drug resistance,
drug_suscept,2,drug,suscept,drug resistance,
drug_user,2,drug,user,ignore,
dual_infect,1,dual,infect,ignore,
eaec_strain,1,eaec,strain,characterization,
east_african,1,east,african,ignore,
east_asia,2,east,asia,ignore,
east_respiratori,2,east,respiratori,ignore,
eastern_china,1,eastern,china,ignore,
ebola_viru,1,ebola,viru,ignore,
effac_lee,1,effac,lee,ignore,pathogen
effect_vaccin,2,effect,vaccin,ignore,
efflux_pump,1,efflux,pump,ignore,
ehec_strain,1,ehec,strain,ignore,
electrophoresi_pfge,13,electrophoresi,pfge,ignore,"method, don't care to much"
electrophoret_mobil,1,electrophoret,mobil,ignore,not sure what's going on
element_acm,1,element,acm,ignore,
element_ic,1,element,ic,ignore,
element_mge,1,element,mge,ignore,
embryon_chicken,1,embryon,chicken,ignore,
emerg_infecti,1,emerg,infecti,surveillance,
emerg_pathogen,1,emerg,pathogen,surveillance,too broad
enceph_viru,1,enceph,viru,ignore,
encod_cholera,1,encod,cholera,ignore,too broad
encod_gene,6,encod,gene,ignore,
encod_plasmid,2,encod,plasmid,ignore,
endem_region,1,endem,region,ignore,
energi_balanc,1,energi,balanc,ignore,
energi_metabol,1,energi,metabol,ignore,
enter_pathogen,1,enter,pathogen,ignore,
enterica_isol,1,enterica,isol,ignore,
enterica_serotyp,2,enterica,serotyp,characterization,
enterica_serovar,3,enterica,serovar,ignore,pathogen
enterica_strain,1,enterica,strain,characterization,
enterica_subsp,3,enterica,subsp,ignore,
enterica_subspeci,1,enterica,subspeci,ignore,
enteritidi_isol,1,enteritidi,isol,ignore,
enteritidi_strain,1,enteritidi,strain,characterization,
enteroaggreg_escherichia,1,enteroaggreg,escherichia,ignore,
enterobact_cloaca,3,enterobact,cloaca,ignore,
enterobacteri_repetit,1,enterobacteri,repetit,ignore,
enterobacteriacea_isol,3,enterobacteriacea,isol,ignore,
enterococci_vre,1,enterococci,vre,drug resistance,"possible reservor, more context needed"
enterococcu_faecali,1,enterococcu,faecali,ignore,too broad
enterococcu_faecium,1,enterococcu,faecium,ignore,
enterocyt_effac,1,enterocyt,effac,ignore,
enterohemorrhag_escherichia,1,enterohemorrhag,escherichia,ignore,
enteropathogen_escherichia,1,enteropathogen,escherichia,ignore,
enterotoxigen_escherichia,1,enterotoxigen,escherichia,ignore,
enterotoxin_gene,1,enterotoxin,gene,ignore,
entir_genom,3,entir,genom,genome,
env_gene,1,env,gene,ignore,
env_region,1,env,region,ignore,
env_sequenc,1,env,sequenc,ignore,
envelop_gene,2,envelop,gene,ignore,
environment_factor,1,environment,factor,ignore,
environment_isol,5,environment,isol,ignore,
environment_sampl,2,environment,sampl,ignore,
environment_sourc,1,environment,sourc,ignore,
environment_strain,1,environment,strain,ignore,
environment_vibrio,1,environment,vibrio,ignore,
enzym_immunoassai,1,enzym,immunoassai,ignore,
epidem_cholera,1,epidem,cholera,ignore,too broad
epidem_clone,4,epidem,clone,ignore,have better terms
epidem_methicillin,1,epidem,methicillin,ignore,mBio probably
epidem_mrsa,1,epidem,mrsa,drug resistance,
epidem_outbreak,1,epidem,outbreak,outbreak,
epidem_popul,1,epidem,popul,ignore,pathogen
epidem_season,1,epidem,season,ignore,"drug resistance, but pretty broad, have better terms"
epidem_strain,6,epidem,strain,outbreak,
epidem_vibrio,1,epidem,vibrio,ignore,
epidemiolog_analysi,2,epidemiolog,analysi,ignore,
epidemiolog_data,2,epidemiolog,data,ignore,
epidemiolog_investig,8,epidemiolog,investig,outbreak,investigation tends to imply outbreak
epidemiolog_link,3,epidemiolog,link,outbreak;transmission,
epidemiolog_studi,12,epidemiolog,studi,ignore,
epidemiolog_unrel,1,epidemiolog,unrel,ignore,
epidemiologi_studi,1,epidemiologi,studi,ignore,
epitheli_cell,1,epitheli,cell,ignore,
epstein_barr,1,epstein,barr,ignore,
eric_pcr,1,eric,pcr,ignore,
esbl_gene,2,esbl,gene,drug resistance,
esbl_phenotyp,1,esbl,phenotyp,drug resistance,
esbl_posit,2,esbl,posit,ignore,too broad
esbl_produc,3,esbl,produc,ignore,pathogen
escap_mutant,1,escap,mutant,ignore,
escherichia_coli,6,escherichia,coli,ignore,"immune response, not sure how to consider this"
etec_strain,1,etec,strain,ignore,
etiolog_agent,4,etiolog,agent,ignore,
eurasian_lineag,1,eurasian,lineag,characterization,pathogen
euro_american,1,euro,american,ignore,
european_countri,1,european,countri,ignore,bcp_mutat
evolutionari_analysi,1,evolutionari,analysi,ignore,
evolutionari_dynam,1,evolutionari,dynam,ignore,
evolutionari_histori,4,evolutionari,histori,ignore,"disease, too broad"
evolutionari_origin,1,evolutionari,origin,vector,"useful, but phrasing really"
evolutionari_rate,1,evolutionari,rate,ignore,
exact_tandem,1,exact,tandem,ignore,
exfoli_toxin,1,exfoli,toxin,ignore,
experiment_infect,1,experiment,infect,ignore,pathogen- not useful
express_level,1,express,level,ignore,too broad
express_profil,1,express,profil,ignore,too broad
extend_spectrum,4,extend,spectrum,drug resistance,
extens_drug,1,extens,drug,ignore,
extraintestin_pathogen,1,extraintestin,pathogen,ignore,"not sure, but could be interesting"
faecal_sampl,1,faecal,sampl,ignore,
faecali_isol,1,faecali,isol,ignore,
faecium_isol,1,faecium,isol,ignore,
faecium_strain,1,faecium,strain,ignore,too specific
famili_strain,1,famili,strain,ignore,
fatti_acid,1,fatti,acid,ignore,
fecal_sampl,2,fecal,sampl,ignore,
fever_dhf,1,fever,dhf,ignore,region
fever_viru,1,fever,viru,ignore,
field_gel,14,field,gel,ignore,"method, donÍt care"
find_suggest,8,find,suggest,ignore,
fluoroquinolon_resist,2,fluoroquinolon,resist,drug resistance,
food_anim,1,food,anim,ignore,
food_born,4,food,born,vector,
food_safeti,2,food,safeti,ignore,
foodborn_outbreak,1,foodborn,outbreak,outbreak,
foodborn_pathogen,3,foodborn,pathogen,vector,
foreign_born,1,foreign,born,ignore,
form_crf,1,form,crf,ignore,too general
form_urf,1,form,urf,ignore,
fragment_length,12,fragment,length,ignore,
frame_orf,1,frame,orf,ignore,
frequent_isol,1,frequent,isol,ignore,
frequent_recombin,2,frequent,recombin,ignore,disease
fulmin_hepat,1,fulmin,hepat,ignore,
fusid_acid,1,fusid,acid,ignore,
gag_gene,1,gag,gene,ignore,
gag_pol,1,gag,pol,ignore,pathogen
